first_name,last_name,company,title,domain,email,phone,industry,country,linkedin_url
Elvin,Gementera Cruz,JESCO,"Specialist, Contracts",jesco.com.sa,elvin.cruz@jesco.com.sa,966133504659,,Dammam,
Li,Zhihui,WISON,Construction Manager,wison.com,lizhihui@wison.com,966544263253,,Dammam,
Freddie,A Ungriano,EPPM,Procurement Engineer,eppm.com.tn,freddie.ungriano@eppm.com.tn,966546749241,,Dammam,
Devarajan,N Narayanan,SABIC-SAFCO,"Sr. Engineer, Control",safco.sabic.com,narayanand@safco.sabic.com,966133422852,,Dammam,
Abdelmalek,Drine,ZEECO Middle East,Electrical & control Engineer,zeeco.com,malek_drine@zeeco.com,966531130779,,Dammam,
Mohammed,Abdul Aziz,ZEECO Middle East,project Engineering Manager,zeeco.com,mohammed_aziz@zeeco.com,966501044335,,Dammam,
Kevork,Khadrlian,ZEECO Middle East,senior control & Instrumentation Engineer,zeeco.com,kevork_khadrlian@zeeco.com,966559629649,,Dammam,
Osama,Shehata,Dallah Trading Company – TRANE,Dept. Leader - Eastern Region,dallah-trading.com.sa,osama.shehata@dallah-trading.com.sa,966544259596,,Dammam,
Nassar,F. Mahmoud,Dallah Trading Company – TRANE,team leader - Central,dallah-trading.com.sa,nassar@dallah-trading.com.sa,966509053524,,Dammam,
Kedar,Kulkarni,ORBITUS Arabia Factory Co Ltd,Sales Manager,orbitusarabia.com,sales@orbitusarabia.com,966500608190,,Dammam,
Akram,Qutqut,Rawaby Electric,Area Sales Manager,rawabielectric.com,akram.qutqut@rawabielectric.com,966555287512,,Dammam,
Ahmed,Al Somali,CAMERON - Aschlumberger Company,Mid-Stream Account Manager -KSA,cameron.slb.com,somali@cameron.slb.com,966566629056,,Dammam,
Mohammed,Azam Saberi,Ma'aden Aluminium,"Sr. Engineer, Construction - Engineering",maaden.com.sa,saberim@maaden.com.sa,966536010119,,Dammam,
Mirza,Mohammed Ali Baig,Ma'aden Aluminium,"Specialist II, Procurement",maaden.com.sa,baigmi@maaden.com.sa,966133507353 ext  113-7353,,Dammam,
Mazen,GHOUMRAWI,"Napco Consumer Products Company, Ltd.",Hygiene Division Technical Manager,napconational.com,mazen.ghoumrawi@napconational.com,966533233970,,Dammam,
Marven,Cerezo,Zamil Cool Care,Electrical Engineer/ MRO-Jubail,coolcare.com.sa,marven.cerezo@coolcare.com.sa,966532083867,,Dammam,
Medhat,Mohamed,BallUAC-REXAM,,balluac.com,medhat.samir@balluac.com,,,Dammam,
Al-Tamimi,,Mohamed Fayad,Projects SalesEngineer,gpds.com.sa,m.fayadh@gpds.com.sa,966592002070,,Dammam,
Mohammed,Ghanem,Johnson Controls,Area projects Manager,jci.com,mohamed.ghanem@jci.com,966500244986,,Riyadh,
PadmaKumar,,omega Factory,Sr. Procurement Engineer,omega-abahsain.com,omega@omega-abahsain.com,966504131570,,Riyadh,
Ibrahim,Mohammed Bukhari,MARAFIQ,,marafiq.com.sa,bukhariim@marafiq.com.sa,143246800,,Yanbu,
ENG.,Manoj Kumar Mishra,First National O&M Co. Ltd (NOMAC),,nomac.com,manojmishra@nomac.com,173413405,,Jeddah,
Ali,Shareef Mohammed,WESSCO,,kindasa.com,ashareef@kindasa.com,,,Jeddah,
Akbar,ALI,CROWN Bevcan Europe & Middle East,,eur.crowncork.com,akbar.ali@eur.crowncork.com,535256866,,Jeddah,
Marc,,CONSOLIDATED CAN MAN. CO,,ccmc.com.sa,marc@ccmc.com.sa,536229092,,Jeddah,
Eng.,Waseem Ahmed,RABIGH OPERATIONS & MAINTENACE CO.,,nomac.com,waseem.ahmed@nomac.com,504143913,,Rabigh,
Ahmer,Bilal,Global Falcom Trading Company,,gfalcom.com.sa,ahmer.bilal@gfalcom.com.sa,+966568282190,,Jeddah,
Bashir,Ahmed,Bashir A. Dost Mohd. Cont. Est.,,bashirdost.com,info@bashirdost.com,,,Jeddah,
Ahmed,Khedr,AL SALEM YORK SERVICES CO. LTD(JCI),,jci.com,ahmed.khedr@jci.com,567817723,,Jeddah,
Umar,Usman,M Raqia Est,,mraqiya.com,sales@mraqiya.com,506324187,,Jeddah,
Eng.,Mostafa,AL HADA WATER CO. LTD.,,alhada.com.sa,qcm1@alhada.com.sa,507815303,,Jeddah,
Mohammed,Akber,National Biscuits & Confectionery,,nbcc.com.sa,akber@nbcc.com.sa,502007517,,Jeddah,
Eng.,Omar AL-Amri,King Fahd Glorious Quran Printing,,qurancomplex.gov.sa,omarawam@qurancomplex.gov.sa,541940020,,Saudi Arabia,
Abdul,Mateen Khan,PRINTOPACK Saudi Modern Packaging,,printopack.com.sa,purchasing@printopack.com.sa,564227203,,Jeddah,
Mousa,Abdulti,Jazzirah Environment Co.,,jeco.com.sa,m.abdulati@jeco.com.sa,0565344406,,Jeddah,
Fakher,Ahmed Siddiqui,Teamac Arabia Contracting,,teamac-arabia.com,fakher.siddiqui@teamac-arabia.com,560495220,,Jeddah,
Paulina,Palma-Krause,MARS Saudi Arabia,,effem.com,paulina.palma-krause@effem.com,,,Jeddah,
Oliver,Jose,Al Dousor International Company Ltd,,dousor-sa.com,oliver@dousor-sa.com,122840823,,Jeddah,
Eng.,Waqas Asim,AL-JOUF CEMENT COMPANY,,joufcem.com.sa,w.a.ali@joufcem.com.sa,,,Saudi Arabia,
Mohammed,Azeem Khan,"THABAT Construction Co., LTD.",,thabat.sa,mohammedazeem.khan@thabat.sa,502484226,,Jeddah,
Romeo,B. Romero,Arabian Chemical Company Ltd.,,eajb.com.sa,r.romero@eajb.com.sa,966-50-825-1433,,Jeddah,
Raed,Saleh,YANBU ARAMCO SINOPEC REFINING CO,,yasref.com,raed.saleh@yasref.com,,,Yanbu,
Rajasekar,S Raju,SAUDI BASIC INDUSTRIES CORPORATION,,yansab.sabic.com,rajurs@yansab.sabic.com,,,Yanbu,
Adeel,Faiz,Muhammad Adeel Faiz Ahmad Est.,,mafa-co.com,adeel@mafa-co.com,0507761212,,Jeddah,
Mahmoud,Abdelraouf,GIZA ARABIA,,gizasystems.com,mahmoud.abdelraouf@gizasystems.com,00966 561079284,,Riyadh,
Redwan,Reda,ARRY COMPANY FOR INVESTMENT & CONTR,,hotmail.com,arryinc@hotmail.com,+966 505447984,,Riyadh,
Jawwad,Kamran,AVANCEON FZE,,avanceon.ae,jkamran@avanceon.ae,0092 301 8452414,,"Dubai, UAE",
Abdullah,Alshahri,NATIONAL WATER COMPANY,,nwc.com.sa,amaalshehri@nwc.com.sa,505246782,,Riyadh,
Bandar,Aljabri,Middle East Food Solution Company,,mefsco.com,b.aljaberi@mefsco.com,555412752,,Riyadh,
Ali,,National Factory For Glass Bottles.,,zoujaj-glass.com,ali@zoujaj-glass.com,504259751,,Riyadh,
Abdul,Wahab,UNITED FOOD INDUSTRIES CORP. LTD. C,,deemah.com,a.wahab@deemah.com,534938097,,Riyadh,
Shakir,Haj,Coldstores Group of Saudi Arabia,,cgs.com.sa,shakir.hussein@cgs.com.sa,530519474,,Riyadh,
Faizal,Kandy,BACS,,bacsrmp.com,fckandy@bacsrmp.com,597477935,,Riyadh,
Jomy,Jose,National TriGeneration CHP Company,,sourceenergy.com.sa,j.jose@sourceenergy.com.sa,503690855,,Riyadh,
AbdulRahman,Kajo,AL FANAR COMPANY,,alfanar.com,abdulrahman.kajo@alfanar.com,551090226,,Riyadh,
Kumar,,OMEGA FACTORY FOR LUMINAIRES POLES,,omega-abahsain.com,kumar@omega-abahsain.com,504131570,,Riyadh,
Avinash,Gupta,"FCC Electromechanical, LLC",,fcc.es,avinashkumar.gupta@fcc.es,507674279,,Riyadh,
Noor,,Zainab Talab Al Muthairy Est,,gmail.com,alnaleera68@gmail.com,506694712,,Riyadh,
Asadullah,Khan,THYSSENKRUPP,,thyssenkrupp.com,asadullah.khan@thyssenkrupp.com,531567098,,Riyadh,
Niyas,Ali,VEOLIA Water Solutions &,,veolia.com,niyas.ali@veolia.com,564619234,,Riyadh,
Mahmoud,Bahgat,Abdullah N. ElMousa for Contg. Est.,,yahoo.com,m.bahgat81@yahoo.com,543999693,,Riyadh,
Ahmed,Mousa,Mohammed abdullah alsayegh,,gmail.com,ahmedelkelawy2014@gmail.com,598853385,,Riyadh,
John,Farley,Samsung C&T Corporation S.A,,samsung.com,jf.pesigan@samsung.com,59 727 9393,,Riyadh,
Surya,rao,Saudi Ceramic,,saudiceramics.com,suryarao.k@saudiceramics.com,503871904,,Riyadh,
Ayoob,,Saudi Ceramic,,saudiceramics.com,ayoob.km@saudiceramics.com,555382198,,Riyadh,
Sameer,Alqubati,Engineering Products Trading Est.,,epe-ksa.com,info@epe-ksa.com,+966 55 5271928,,Riyadh,
Bashir,AL qahtani,MEMCO,,memco.com.sa,bashir.alqatanani@memco.com.sa,966 544428485,,Riyadh,
Supply,Chain Manager,SONOCO SAUDI ARABIA LIMITTED,,sonoco.com,mohammed.habib@sonoco.com,.+966 5513 99860,,Jeddah,
Tendering,& Proposals Engineer,AL KAWTHER INDUSTRIES CO. LTD.,,alkawther.com,samerali@alkawther.com,966 (12) 6360644 Ext.233,,Jeddah,
Instrumentation,& Control Engineer,Al-Fatah International for Water,,rawafid.sa,aali@rawafid.sa,966) 59 505 0181,,Jeddah,
Plant,Manager,Basic Chemicals National Company,,cmdc.com.sa,sajid@cmdc.com.sa,501932761,,Jeddah,
Sr.,Procurement Officer,SUIDO KIKO MIDDLE EAST,,suikime.com,e-esmat@suikime.com,966 2 6608427  Ext.: 243,,Jeddah,
Engineering,Manager,CONSOLIDATED CAN MAN. CO,,ccmc.com.sa,john.thomas@ccmc.com.sa,966 53 622 9092,,Jeddah,
Project,Engineer (Automation),SAUDI ARAMCO COMPANY,,aramco.com,abdulaziz.suwaied@aramco.com,505481816,,Jeddah,
Sr.,Material Coordinator,SAUDI ELECTRICITY COMPANY,,se.com.sa,2019177@se.com.sa,966 566641176,,Jeddah,
Senior,Project Engineer,AL SALEM YORK CO.,,jci.com,adel.abobakr@jci.com,966) 56 06 444 20,,Jeddah,
Purchasing,Team Leader,AL SALEM YORK CO. (JCI),,jci.com,ibrahim.kapadia@jci.com,00966 12 2288051,,Jeddah,
Maintainance,Engineer,Del Monte Saudi Arabia Co. Ltd.,,freshdelmonte.com,msullahkhan@freshdelmonte.com,537023223,,Jeddah,
Manager,,FERASCO – Feras Mohammad Najeeb Est,,feras-co.com,nadeembutt@feras-co.com,00 966 (0) 505 105 928,,Jeddah,
Project,Procurement Manager,"THABAT Construction Co., LTD.",,thabat.sa,muhammad.arshad@thabat.sa,966 551694674,,Jeddah,
Senior,Electrical Maintenance Technician,MARS Saudi Arabia,,effem.com,alexander.macas@effem.com,966 592670834,,Jeddah,
Procurement,"Supervisor,",WESSCO,,kindasa.com,sadaqat@kindasa.com,966(0)505582159,,Jeddah,
Purchasing,Manager,MAADEN PHOSPHATE COMPANY (LLC),,maaden.com.sa,narangs@maaden.com.sa,553446706,,Jeddah,
Project,Engineer (Automation),Siemens Company Limited,,siemens.com,mohammed.alqassim@siemens.com,966 56 563 5452,,Jeddah,
Purchaser,– MRO and FCM,Tetra Pak Arabia,,tetrapak.com,nour.hejazi@tetrapak.com,560972017,,Jeddah,
Maintainence,Head,National Biscuits & Confectionery,,nbcc.com.sa,nikam@nbcc.com.sa,506611682,,Jeddah,
Purchasing,Manager,Aloyoun Water Factory Co. Ltd.,,aloyoun.com.sa,info@aloyoun.com.sa,966 2 6081404,,Jeddah,
Purchasing,Agent,NASR Packaging & Printing CO.,,nasrpac.com,mail@nasrpac.com,966-555356983,,Jeddah,
Purchasing,Manager,AL-JOUF CEMENT COMPANY,,joufcem.com.sa,m.h.gulraiz@joufcem.com.sa,(+966) 508376224,,Jeddah,
Maintainence,Head,National Factory for Can Ends Ltd,,nafcel.com.sa,kamran.sohail@nafcel.com.sa,543361037,,Jeddah,
Maintainence,manager,AQUAT FOOD INDUSTRIES CO. LTD.,,aquatfoods.com,eng@aquatfoods.com,580910533,,Jeddah,
General,manager,M. RAQIYA EST.,,mraqiya.com,avhora@mraqiya.com,506651730,,Jeddah,
Project,Engineer,SAMREF(S.ARAMC0 M.REF.CO),,samref.com.sa,muhammad.b.mughal@samref.com.sa,966143964658,,Jeddah,
Technical,Engineer,Ma’aden Barrick Copper Company,,mbcc.com.sa,vincent.vanwyk@mbcc.com.sa,966 53 140 7819,,Jeddah,
Plant,"Manager,",United Compounding Industrial Co.,,ucic.sa,y.jawalgekar@ucic.sa,966 (0) 555 028 573,,Jeddah,
Senior,Proposal Engineer,ARABIAN BEMCO CONTRACTING,,bemco.net,hatem.alhaj@bemco.net,966 59 9019989,,Jeddah,
,,Osama Abdul Aziz Al-Dahishi Factory for Car Bodies,,aldheeshi.com,info@aldheeshi.com,0505450758,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,Al Kharj,
,,Al-Jeathen Factory for Steel Industries,,aljeathen.com,mubarak@aljeathen.com,0504270970,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,Al Kharj,
,,Al-Etihad International Co. Factory for Metal Industries,,hotmail.com,vip_z55z@hotmail.com,0594111120,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,Al Kharj,
,,Abdel Rahman Mohamed Al-Ruwaished Factory for Metal Products,,hotmail.com,rowish_acv@hotmail.com,0553075709,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,Al Kharj,
,,Saudi Bus Factory,,owaidah.com.sa,industry@owaidah.com.sa,0504488444,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,Riyadh,
,,Saudi Arabia Hale Tralor Company Limited,,heiltrailer.com,smohammed@heiltrailer.com,0535259069,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,Riyadh,
,,Al-Matroudi Car Bodies Factory,,hotmail.com,fahadsalah24@hotmail.com,0553222284,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,Riyadh,
,,Al-Shamrani company (Push-Pull Tractors Factory),,hotmail.com,shamrany_jed@hotmail.com,0500006597,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,Jeddah,
,,Eysar Factory for Fire Extinguishing and Safety Equipment,,gmail.com,faisal13456@gmail.com,0582999999,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,Jeddah,
,,Al-Namy Trailers Factory,,hotmail.com,alnmi_99@hotmail.com,0553444748,صنع معدات النقل الاخرى,Jeddah,
,,Abdullah Mohamed Al-Saadi Factory for Metal Industries,,hotmail.com,f.m.aloufi@hotmail.com,0555548989,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,Jeddah,
,,Abdo Zayed Ali Al-Shemeri Factory for Metal Industries,,yahoo.com,alriyadh_consultant@yahoo.com,0505697584,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,Jeddah,
,,Saeed Hassan Al-Qahtani United Factory for Trailers,,hotmail.com,mm4535@hotmail.com,0560566661,صنع المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,عسيـــر,
,,Saudi Rock Wool Factory,,sudirockwool.com,eidi_sulaiman@sudirockwool.com,0509994555,صنع منتجات المعادن اللافلزية الأخرى,Al Kharj,
,,مصنع أسلم أنصار أنصاري لانتاج اللحف والمخدات,,hotmail.com,aansari5026@hotmail.com,0505491660,صنع المنسوجات,Al Kharj,
,,El-Idrissi Textile Co.,,yahoo.cpm,im2006@yahoo.cpm,0552288390,صنع المنسوجات,Al Kharj,
,,Arabian Company for Comforters and Pillows  (ACCP),,satex.com.sa,accp@satex.com.sa,0505405516,صنع المنسوجات,Riyadh,
,,Saudi Shemagh Factory,,hotmail.com,alajlan2000@hotmail.com,0509996786,صنع الملبوسات,Riyadh,
,,National Polyester Fiber Factory,,ayed-sa.com,info@ayed-sa.com,0505559335,صنع منتجات المطاط والبلاستك,Riyadh,
,,Al-Abdullatif Industrial Investment Company,,carpets.com,jaber@carpets.com,0505757403,صنع المنسوجات,Riyadh,
,,Obeikan Technical Fabrics Co. (OTF),,obeikan.com.sa,zayed@obeikan.com.sa,0541244376,صنع المنسوجات,Riyadh,
,,Badia Spinning & Weaving Co.,,badia.com.sa,info@badia.com.sa,0509997013,صنع المنسوجات,Riyadh,
,,Khaldoun Industrial Co. (Weaving & embroidery Factory),,yahoo.com,khaldoon_factory@yahoo.com,0505479526,صنع المنسوجات,Riyadh,
,,Safi Leather Factory,,hotmail.com,safyleather@hotmail.com,0504675308,صنع منتجات المعادن المشكلة، باستثناء الالات والمعدات,Riyadh,
,,Ahmed Mohammed Bukari & Partner Factory Company for Pillows and Bedspreads,,yahoo.com,ama_bukhari@yahoo.com,0504494875,صنع المنسوجات,Riyadh,
,,Adeem Uniforms Company,,hotmail.com,adeemadeem@hotmail.com,0504161615,صنع الملبوسات,Riyadh,
,,Alyaf Readymade Garments and Gowns Manufacturing Factory,,yahoo.com,alyafgorp@yahoo.com,0505206475,صنع الملبوسات,Riyadh,
,,Zarawat Factory for Ladies Abayas &  Veils,,hotmail.com,f.c.ksa@hotmail.com,0555504443,صنع الملبوسات,Riyadh,
,,Zou Jenahain Factory for Ready-made Garments,,hotmail.com,z.janaheen@hotmail.com,0504442359,صنع الملبوسات,Riyadh,
,,Sultan Stockings Factory,,hotmail.com,falcon.sultan@hotmail.com,0505413681,صنع الملبوسات,Riyadh,
,,Riyadh Labs Factory for the Velvety Production,,rvf.sa,abdullah@rvf.sa,0553377774,صنع المنسوجات,Riyadh,
,,Omar Abdel Latif & Partner  Factory for Ready-made Garments,,hotmail.com,aqader_l@hotmail.com,0502433918,صنع الملبوسات,Medina,
,,Mohamed Fathi Company & Partner for Textile Industry,,elsharktex.com,mohamed@elsharktex.com,0546688806,صنع المنسوجات,Medina,
,,Ahmed Saeed Kalash & Partners Factory for Ghutra and Clothing,,hotmail.com,kalashgotra@hotmail.com,0554043044,صنع الملبوسات,Medina,
,,Siddiq Saleh Farsi Sons Co. Factory for Uniforms,,hotmail.com,sfarsisons@hotmail.com,0555300308,الصناعات التحويلية الأخرى,Medina,
,,Tiba Carpet Factory,,hotmail.com,teiba-carpet@hotmail.com,0507999111,صنع المنسوجات,Medina,
,,مصنع عبدالعزيز عبدالرحمن العياف للمشالح والفراء,,hotmail.com,ayyaf2014@hotmail.com,0555708449,صنع الملبوسات,Medina,
,,Mashaleh Elbadr Factory,,m-albader.com,info@m-albader.com,0555322001,صنع الملبوسات,Medina,
,,Noor Tiba Shoes Factory,,windowslive.com,basem822@windowslive.com,0503335822,صنع المنتجات الجلدية والمنتجات ذات الصلة,Medina,
,,Yusuf Ali Al-Maghzaoui Factory for Polystyrene Products,,hotmail.com,yosf-fac@hotmail.com,0505314894,صناعة المنتجات الغذائية,Medina,
,,Turkieh Ali Al Faye Factory for Garments,,hotmail.com,h.saif.5@hotmail.com,0554513131,صنع الملبوسات,Jazan,
,,Saudi Yarn and Knitting Technology Factory,,nafa.net,syntech@nafa.net,0557603734,صنع المنسوجات,Jeddah,
,,National Factory for Polystyrene Packs Co. Ltd (StyrenPack),,styrenpack.com,styrene@styrenpack.com,0505627479,الصناعات التحويلية الأخرى,Jeddah,
,,Abul Saud Furniture Factories Co.,,abouseoud.com,sales@abouseoud.com,0505608806,صنع المنسوجات,Jeddah,
,,Modern Textile Supplies Factory Company,,asiig.com,hadeel@asiig.com,0564061001,صنع المنسوجات,Jeddah,
,,Jeddah Industrial Yarn Factory Co.,,al-sorayai.com,ali.katheri@al-sorayai.com,0552121242,صنع المنسوجات,Jeddah,
,,Jeddah Plastic Textile Factory Co.,,moussallati.com,makool@moussallati.com,0505693344,صنع منتجات المطاط والبلاستك,Jeddah,
,,Al-Dawaa Medical Services Co. Ltd.,,al-sorayai.com,carpet2@al-sorayai.com,0552121242,صنع المنسوجات,Jeddah,
,,Fast Carpet Ltd. Factory,,al-sorayai.com,ali.katheri@al-sorayai.com,0552121242,صنع المنسوجات,Jeddah,
,,Modern Mattresses and Beds Factory,,sleebhigh.com,info@sleebhigh.com,0555642469,صنع المنسوجات,Jeddah,
,,Tetra Factory for Carpet And Furniture Fabrics,,saudionline.com.sa,tatrarug@saudionline.com.sa,0505450911,صنع المنسوجات,Jeddah,
,,Dessar Factory for Textile Industry,,desargroup.com,w.tayaran@desargroup.com,0505611255,صنع المنسوجات,Jeddah,
,,Lebsy Moda  Factory for Ready-made Garments,,gmail.com,fnoonalmoda@gmail.com,0554656663,صنع الملبوسات,Jeddah,
,,Jamal Hussein Habtoor Garments Factory,,hotmail.com,habtoor.est@hotmail.com,0500005438,صنع الملبوسات,Jeddah,
,,Al-Fayhaa Modern Factory for Socks,,hotmail.com,mazen.82@hotmail.com,0509837966,صنع الملبوسات,Jeddah,
,,Attia Betaa Al-Boshra  Factory for Ready-made Garments,,gmail.com,aljeel01@gmail.com,0544151516,صنع الملبوسات,Jeddah,
,,Mohamed Saeed Kaaki Factory for Polyester and Linens,,gmail.com,msskaki.polyester@gmail.com,0505646800,صنع الاثاث,Jeddah,
,,Marwan Mahmoud Saadoun Factory for Uniforms,,hotmail.com,magst100@hotmail.com,0504599103,صنع الملبوسات,Jeddah,
,,Al-Kafela Factory for Manufacturing Media Advertising Panels,,alnasseej.com,fahad@alnasseej.com,0505646186,صنع المنسوجات,Jeddah,
,,Branch of Ahmed Mohamed Bukhari & Partners Co. Factory for Pillows and Bedspreads,,yahoo.com,alhuda_jed@yahoo.com,0504690815,صنع المنسوجات,Jeddah,
,,مصنع البركة لإنتاج اللحف والمخدات,,hotmail.com,albarakah111@hotmail.com,0505678648,صنع المنسوجات,Jeddah,
,,"Mohamad Munaf Abdul Sattar Ibrahim Factory for Polyester, Quilts & Pillows",,hotmail.com,saadmunaf7@hotmail.com,0504325712,صنع المنسوجات,Jeddah,
,,Qaddah Ali Al-Shibli  Factory for Ready-made Garments,,hotmail.com,alshebli100@hotmail.com,0500855455,صنع الملبوسات,عسيـــر,
,,Textile & Readymade Garments Co. Factory,,saudithobe.com,info@saudithobe.com,0505523744,صنع المنسوجات,Makkah,
,,Road Technology co. factory for Enhanced Asphalt,,redanational.com,yousef.alrashid@redanational.com,0533002844,صنع المواد الكيميائية والمنتجات الكيميائية,Al Bahah,
,,Saudi Factory for the Production of Re-Refined Motor Oils,,hotmail.com,saud_sa99@hotmail.com,0505440509,صنع فحم الكوك والمنتجات النفطية المكررة,Al Kharj,
,,Petrol Nas Factory co. for producing and re-refining oil,,gmail.com,abdu03466@gmail.com,0504447760,صنع فحم الكوك والمنتجات النفطية المكررة,Al Kharj,
,,Ahmed Ali Al-Ghamdi Factory for Engine Oils,,hotmail.com,ads_22sd@hotmail.com,0554124744,صنع منتجات المطاط والبلاستك,Al Kharj,
,,Reliable Oils and Lubricants Factory for Chemicals,,upcmails.com,upc@upcmails.com,0505297776,صنع المواد الكيميائية والمنتجات الكيميائية,Al Kharj,
,,Saudi Oils Company Factory,,hotmail.com,hkiic1261@hotmail.com,0504242448,صنع المواد الكيميائية والمنتجات الكيميائية,Al Kharj,
,,Khaled Abdulaziz Al-Zir Factory for Re-refining Used Oils,,gmail.com,egabcenter@gmail.com,0500040576,صنع فحم الكوك والمنتجات النفطية المكررة,Al Kharj,
,,Rawasi Al-Assema  Factory for Lubricants and Asphalt Products,,hotmail.com,x.tarat.x@hotmail.com,0550070407,الصناعات التحويلية الأخرى,Al Kharj,
,,Riyadh Oils Factory,,hotmail.com,roextco@hotmail.com,0505474668,صنع المواد الكيميائية والمنتجات الكيميائية,Al Kharj,
,,Sama Al-Horia Factory for Mixing and Packing Oils & Greases,,yahoo.com,hamadafiras@yahoo.com,0559610400,الصناعات التحويلية الأخرى,Al Kharj,
,,Saif Ayed Al-Mautrofi Factory for Petroleum Derivatives,,hotmail.com,saif_1411@hotmail.com,0542288188,صنع فحم الكوك والمنتجات النفطية المكررة,Al Kharj,
,,Oil World Factory for Re-refining Lubricating Oils,,gmail.com,technology.city1@gmail.com,0599960407,صنع المواد الكيميائية والمنتجات الكيميائية,Al Kharj,
,,Qaidat Al-Teknia Factory for Oils Recycling,,gmail.com,ys.stlop@gmail.com,0555421066,صنع فحم الكوك والمنتجات النفطية المكررة,Al Kharj,
,,"Laialy Al-Sahara Factory for Oils, Grease and Bitumen",,gmail.com,ehabmara86@gmail.com,0500044439,صنع فحم الكوك والمنتجات النفطية المكررة,Al Kharj,
